Nest,Surv,Year13,Xcoord,Ycoord,Elev,Bare,Herb,Litter,Sage,Shrub,ShrubHt,Herb.Bin,Herb.Bin.Mean.1,Herb.Bin.Mean.2,Herb.Bin.Mean.3,Herb.Bin.SD.1,Herb.Bin.SD.2,Herb.Bin.SD.3,Herb.Mean.1,Herb.Mean.2,Herb.Mean.3,Herb.SD.1,Herb.SD.2,Herb.SD.3,Sage.Bin,Sage.Bin.Mean.1,Sage.Bin.Mean.2,Sage.Bin.Mean.3,Sage.Bin.SD.1,Sage.Bin.SD.2,Sage.Bin.SD.3,Sage.Mean.1,Sage.Mean.2,Sage.Mean.3,Sage.SD.1,Sage.SD.2,Sage.SD.3,ShrubHt.Bin,ShrubHt.Bin.Mean.1,ShrubHt.Bin.Mean.2,ShrubHt.Bin.Mean.3,ShrubHt.Bin.SD.1,ShrubHt.Bin.SD.2,ShrubHt.Bin.SD.3,ShrubHt.Mean.1,ShrubHt.Mean.2,ShrubHt.Mean.3,ShrubHt.SD.1,ShrubHt.SD.2,ShrubHt.SD.3,CTI,HLI,TRI,CTI.Mean.1,CTI.Mean.2,CTI.Mean.3,CTI.SD.1,CTI.SD.2,CTI.SD.3,TRI.Mean.1,TRI.Mean.2,TRI.Mean.3,TRI.SD.1,TRI.SD.2,TRI.SD.3
1,1,0,NotShared,NotShared,2055.801514,21,32,29,26,28,41,1,0.920577617,0.874661858,0.831855204,0.270886277,0.331251317,0.374028668,20.64259928,19.8025248,18.44723982,3.896122807,4.050644301,3.878771912,0,0.931407942,0.878268711,0.869683258,0.253216632,0.327122721,0.336682054,20.33212996,19.18575293,18.40886878,2.886402432,3.706971539,3.925200462,1,0.393501805,0.267808837,0.175746606,0.489410705,0.443017198,0.380638885,30.88447653,27.22542831,24.96488688,10.81000329,8.933955574,7.363225306,8.044745188,0.736648796,0.188792825,9.028115467,8.63073629,8.633226011,1.971663238,1.776269807,1.915805597,0.111905089,0.317911719,1.04751169,0.195436577,1.040722977,3.983264122
1,0,0,NotShared,NotShared,2242.70166,38,7,30,18,19,34,0,0.003610108,0.003606853,0.008868778,0.060084177,0.059975722,0.093764142,6.736462094,7.238052299,7.730678733,2.193337848,2.552190641,2.795829687,1,0.079422383,0.121731289,0.166153846,0.270886277,0.327122721,0.372252369,12.57400722,12.83228133,13.07058824,1.756698208,2.462865786,2.707248517,1,0.144404332,0.228133454,0.312036199,0.352135446,0.41981842,0.463366454,23.54151625,24.66185753,26.42877828,5.703028868,7.26150255,8.219662852,10.64258255,0.747079577,0.056890275,8.080406255,7.861498421,7.579407607,1.301082194,1.446990092,1.542647722,0.525510753,1.005543717,1.657419468,0.502337985,1.673893059,2.498338246
1,0,0,NotShared,NotShared,2147.326172,40,14,25,18,21,34,0,0.537906137,0.686203787,0.730678733,0.499463428,0.464243997,0.443647322,16.09025271,17.58972047,17.93248869,4.826235549,4.677344082,4.363585623,1,0.675090253,0.77276826,0.807058824,0.469188796,0.419232582,0.394642962,16.47292419,17.27772768,17.61520362,5.129852574,4.246729457,3.980672051,1,0.371841155,0.276825969,0.213031674,0.484171042,0.447631581,0.40948691,26.26353791,25.24436429,24.36090498,9.214780529,8.190466043,7.95825863,9.511983797,0.714110112,4.205146313,7.357379252,7.884528612,8.001035438,1.564982858,1.864768199,1.875042667,2.281523096,1.585967275,1.256171224,2.967768635,2.785757579,2.457638238
1,1,0,NotShared,NotShared,2033.880737,77,5,8,8,8,13,0,0.079422383,0.071235347,0.068778281,0.270886277,0.257333605,0.253099631,9,9.279531109,8.96760181,3.794542229,3.713978055,3.741347748,0,0,0.000901713,0.006696833,0,0.030028541,0.081567084,7.472924188,7.574391344,7.717466063,1.649601326,1.57000101,2.17558221,0,0.007220217,0.007213706,0.010859729,0.084817784,0.084664822,0.103652011,16.78700361,17.28944995,17.47257919,4.218847125,4.288984144,4.550168806,7.840342857,0.733799494,1.103529811,8.270787561,8.390763998,8.414149732,1.340984957,1.585433305,1.730058715,0.557214803,0.621879937,0.533186541,0.643341105,1.020590124,0.856837874
1,0,0,NotShared,NotShared,2098.039551,43,15,22,15,18,26,0,0.371841155,0.38232642,0.321085973,0.484171042,0.48617493,0.466936005,15.24548736,15.01442741,14.36126697,3.381164182,3.698932566,3.745064605,0,0.675090253,0.678990081,0.63239819,0.469188796,0.467075227,0.482195814,16.13357401,16.01262399,15.65176471,3.266018363,3.07954461,3.095510615,0,0.083032491,0.091073039,0.073484163,0.276430749,0.287842753,0.260953187,23.23826715,23.08656447,22.1321267,5.122511544,5.509893449,5.398083904,7.812049382,0.730886126,0.110525362,8.111768484,7.87534171,7.965807892,2.154152153,1.922358765,1.77830513,0.841023359,0.77371245,0.562704815,1.617544168,1.393995702,0.985218939
1,0,0,NotShared,NotShared,2102.213135,38,17,25,21,22,31,1,0.389891697,0.402164112,0.317285068,0.48860826,0.490555942,0.465461563,15.07942238,15.26239856,14.41574661,3.627717726,3.837474587,3.645397991,1,0.642599278,0.650135257,0.666063348,0.480101622,0.477142215,0.471660078,16.06498195,15.96212804,15.88923077,3.196935991,2.900020132,2.870806428,1,0.119133574,0.078449053,0.074751131,0.324531949,0.268998229,0.263013156,23.18411552,22.48782687,22.23909502,6.123017309,5.484560349,5.378490488,10.68900012,0.74227581,0.297634929,7.671255962,7.840201859,8.060704283,2.041795186,1.858307166,1.751264775,0.978945342,0.676986793,0.49164104,1.3949566,1.08880056,0.893752678
1,0,0,NotShared,NotShared,2158.492676,41,20,26,19,20,43,1,0.83032491,0.798016231,0.738823529,0.376026473,0.401661302,0.439315665,18.94584838,18.27412083,17.67348416,4.296184575,3.970635363,4.058340065,1,0.906137184,0.88097385,0.86479638,0.29216562,0.323965374,0.341971881,19.68592058,19.39224527,19.05266968,3.200812335,3.573666891,3.796022756,1,0.422382671,0.341749324,0.294298643,0.49483282,0.474510014,0.455768087,28.20938628,26.43823264,25.78642534,8.439438043,8.403251634,8.238765659,10.0305646,0.736498445,0.332192361,8.102187294,8.262143948,8.321911158,1.416378503,1.608018858,1.782319981,0.384772352,0.420385244,0.551977191,0.485904997,0.712550731,0.986412446
1,0,0,NotShared,NotShared,2037.103394,65,10,18,8,8,19,0,0.176895307,0.121731289,0.112036199,0.382270723,0.327122721,0.315439532,11.97111913,10.70243463,10.16850679,3.803016039,3.921131705,3.925909595,0,0,0.011722272,0.012488688,0,0.10768155,0.111062834,7.039711191,8.037871957,7.993303167,2.442500484,2.732741938,2.574900862,0,0.007220217,0.016230839,0.016108597,0.084817784,0.126419182,0.125904645,18.16967509,18.61857529,18.42316742,4.627041371,4.831236486,4.746023042,7.718263854,0.736298244,0.758083403,7.33889938,7.88418812,8.088722913,1.331929937,1.842161136,1.705948353,1.081238329,0.789924733,0.644061031,1.117063974,0.882618872,0.882792048
1,1,0,NotShared,NotShared,2018.428955,72,6,11,7,8,14,0,0.072202166,0.045085663,0.071131222,0.259290816,0.20758565,0.257067174,9.458483755,8.862939585,9.301900452,3.682495099,3.487622106,3.787542704,0,0.003610108,0.021641118,0.01918552,0.060084177,0.145574342,0.137189076,7.472924188,8.155996393,8.293574661,1.962554284,2.578726602,2.553122136,0,0.003610108,0.013525699,0.020271493,0.060084177,0.115562955,0.140940254,17.40794224,17.51397656,18.46570136,3.981343506,4.640995451,5.158051403,9.540230418,0.74479595,0.053338129,9.464646723,9.378124547,9.387926259,1.566851141,1.738063402,1.783500389,0.084995039,0.16320097,0.187574195,0.161157732,0.351775451,0.419828369
1,1,0,NotShared,NotShared,2165.29126,50,14,22,18,19,18,0,0.826714801,0.706041479,0.769773756,0.379178701,0.455778703,0.42101568,17.86642599,17.39404869,18.42606335,2.647159923,4.099705097,4.360581587,1,0.985559567,0.874661858,0.860090498,0.11951348,0.331251317,0.346924513,19.33212996,17.98917944,18.01556561,1.743979336,3.564246614,3.251709887,0,0.097472924,0.135256988,0.18678733,0.297137497,0.342152155,0.389775989,24.29241877,23.65644725,24.58552036,5.183346409,6.41636744,6.939962376,9.294194784,0.743327861,0.017035389,8.903350053,8.318231128,8.380385304,1.526882811,1.748532221,1.946683294,0.104523804,0.708235579,0.871181363,0.251323239,1.530117518,1.985517391
